     3	    49	    12	    12	    12	     1	     0	     1	  -100	     2	     2	  2008
     3	    48	    20	  -100	    12	     1	     0	     5	     5	     1	     3	  2008
     3	    47	    13	  -100	    16	     1	     2	     5	     2	     1	     2	  2008
     3	    32	    10	  -100	    12	     1	     2	     5	     2	     1	     1	  2008
     3	    37	    12	    12	    12	     2	     0	     8	     2	     2	     2	  2008
  -100	    72	    16	   -98	    12	     1	     6	     1	  -100	     1	     1	  2008
     3	    21	    12	    16	    16	     2	     2	     1	  -100	     2	     2	  2008
     3	    36	    12	   -98	    12	     2	     0	     1	  -100	    11	     2	  2008
     3	    48	    14	     8	     8	     2	     0	     1	  -100	     2	     2	  2008
     3	    56	     9	   -98	     9	     2	     0	     1	  -100	     1	     2	  2008
     3	    62	    17	     6	    12	     1	     2	     3	     2	     1	     1	  2008
     3	    40	    19	     8	     8	     1	     0	     1	  -100	     1	     1	  2008
   -98	    62	    18	    12	    12	     2	     2	     1	  -100	     1	     3	  2008
     3	    71	    16	    12	    15	     1	     2	     1	  -100	     1	     1	  2008
  -100	    58	    16	    14	    12	     2	     2	     1	  -100	     1	     1	  2008
  -100	    34	    18	    16	     0	     2	     0	     1	  -100	     9	   -99	  2008
     3	    26	    15	    16	    12	     1	     0	     1	  -100	     9	   -99	  2008
     3	    33	    13	    12	    16	     2	     2	     1	  -100	     3	     3	  2008
   -99	    36	    16	    12	    12	     1	     0	     1	  -100	     2	     2	  2008
     3	    37	    14	     4	     2	     1	     0	     1	  -100	     4	     3	  2008
  -100	    52	    12	   -98	    12	     1	     2	     1	  -100	     2	     2	  2008
     3	    61	    12	   -98	     5	     2	     2	     1	  -100	     2	     2	  2008
     3	    63	    12	    10	  -100	     2	     2	     4	     2	     2	     2	  2008
   -99	    74	    13	   -98	    12	     2	     2	     1	  -100	     2	     2	  2008
  -100	    70	    13	   -98	    12	     2	     2	     1	  -100	     2	     2	  2008
  -100	    38	    12	   -98	    12	     2	     2	     1	  -100	     2	     2	  2008
     3	    32	    14	  -100	    12	     1	     0	     5	     1	    11	     2	  2008
     3	    42	    18	    20	    18	     1	     2	     1	  -100	     7	   -99	  2008
     3	    41	    14	  -100	    12	     1	     2	     5	     2	     1	     1	  2008
     1	    45	    18	    16	    12	     1	     2	     1	  -100	     3	     3	  2008
  -100	    78	    18	     0	     0	     2	     1	     2	     1	     3	     3	  2008
     3	    54	    12	    10	    10	     2	     0	     1	  -100	     2	     2	  2008
     3	    49	    10	     3	     0	     1	     0	     1	  -100	     2	     2	  2008
     3	    66	    12	   -98	   -98	     2	     0	     1	  -100	     2	     2	  2008
     3	    43	    16	    12	    12	     1	     2	     1	  -100	    11	     2	  2008
     3	    37	    16	     6	    12	     2	     2	     1	  -100	    10	     3	  2008
  -100	    30	    16	  -100	    12	     2	     0	     5	     2	     9	   -99	  2008
     3	    53	    14	    18	    16	     2	     2	     1	  -100	     1	     3	  2008
  -100	    78	    16	    17	    12	     2	     0	     1	  -100	    10	     3	  2008
     3	    38	    16	    16	    15	     2	     2	     1	  -100	     2	     2	  2008
  -100	    64	    14	     6	     6	     2	     0	     1	  -100	     2	     2	  2008
     3	    60	    10	    11	    10	     2	     2	     1	  -100	     1	     2	  2008
     3	    55	    13	  -100	    12	     2	     2	     5	     2	     2	     2	  2008
     3	    28	    16	     3	     5	     2	     2	     1	  -100	     2	     2	  2008
     3	    46	    15	  -100	   -98	     2	     2	     5	     2	     1	     1	  2008
     3	    38	    18	    12	    12	     1	     0	     1	  -100	     7	   -99	  2008
     3	    55	    20	    20	    14	     2	     1	     1	  -100	     2	     2	  2008
     3	    39	    16	    18	    18	     2	     2	     1	  -100	     3	     3	  2008
     3	    39	    14	    16	    11	     2	     1	     1	  -100	     2	     2	  2008
   -98	    44	    18	    18	    14	     1	     1	     1	  -100	     1	     3	  2008
     3	    60	    16	    12	    12	     2	     2	     1	  -100	     2	     2	  2008
     3	    34	    14	    19	    12	     2	     1	     1	  -100	     2	     2	  2008
     3	    53	    16	    12	    16	     2	     2	     1	  -100	     1	     3	  2008
     3	    22	    15	    18	    14	     1	     1	     1	  -100	     2	     2	  2008
     3	    42	    16	    12	    12	     2	     2	     1	  -100	     2	     2	  2008
     3	    25	    17	    12	    13	     1	     2	     1	  -100	     1	     1	  2008
     3	    50	    16	    12	    12	     1	     2	     1	  -100	     1	     1	  2008
     3	    24	    12	  -100	    13	     1	     2	     5	     4	     4	     3	  2008
     3	    67	    16	    16	     8	     2	     2	     1	  -100	     1	     3	  2008
     3	    27	    14	    12	    12	     1	     2	     1	  -100	     1	     1	  2008
     3	    65	    20	    12	    12	     1	     0	     1	  -100	     1	     3	  2008
     3	    43	    20	    19	    18	     1	     5	     1	  -100	     3	     3	  2008
     3	    26	    12	    16	    13	     1	     2	     3	     2	     1	     1	  2008
     3	    43	     9	   -98	   -98	     1	     2	     0	     1	     2	     2	  2008
  -100	    62	    19	    16	    12	     2	     3	     1	  -100	     2	     2	  2008
  -100	    43	    14	    12	    12	     1	     2	     1	  -100	     2	     2	  2008
     3	    50	    12	     6	     6	     1	     0	     1	  -100	     2	     2	  2008
     3	    65	    12	   -98	   -98	     2	     2	     1	  -100	     2	     2	  2008
     3	    38	    16	    12	    12	     1	     2	     1	  -100	     2	     2	  2008
     3	    40	    18	  -100	    14	     2	     2	     5	     5	     3	     3	  2008
     3	    45	    12	  -100	    11	     2	     2	     5	     2	     2	     2	  2008
     3	    58	    12	     9	     9	     1	     2	     1	  -100	     2	     2	  2008
